Series Name,Series Code,Country Name,Country Code,2018
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Nauru,NRU,15770
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Nepal,NPL,3350
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Netherlands,NLD,58140
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,New Caledonia,NCL,..
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,New Zealand,NZL,40550
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Nicaragua,NIC,5690
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Niger,NER,1210
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Nigeria,NGA,5030
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Northern Mariana Islands,MNP,..
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Norway,NOR,70530
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Oman,OMN,27320
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Pakistan,PAK,5110
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Palau,PLW,19500
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Panama,PAN,29380
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Papua New Guinea,PNG,4220
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Paraguay,PRY,12710
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Peru,PER,12440
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Philippines,PHL,9650
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Poland,POL,30520
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Portugal,PRT,33490
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Puerto Rico,PRI,23460
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Qatar,QAT,94840
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Romania,ROU,28680
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Russian Federation,RUS,28040
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Rwanda,RWA,2070
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Samoa,WSM,6240
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,San Marino,SMR,..
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Sao Tome and Principe,STP,4060
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Saudi Arabia,SAU,49160
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Senegal,SEN,3310
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Serbia,SRB,16670
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Seychelles,SYC,27310
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Sierra Leone,SLE,1580
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Singapore,SGP,90450
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Sint Maarten (Dutch part),SXM,..
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Slovak Republic,SVK,32050
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Slovenia,SVN,38140
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Solomon Islands,SLB,2320
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Somalia,SOM,..
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,South Africa,ZAF,12520
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,South Sudan,SSD,..
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Spain,ESP,40570
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Sri Lanka,LKA,12810
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,St. Kitts and Nevis,KNA,25040
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,St. Lucia,LCA,14680
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,St. Martin (French part),MAF,..
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,St. Vincent and the Grenadines,VCT,12630
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Sudan,SDN,3950
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Suriname,SUR,15100
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Eswatini,SWZ,8070
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Sweden,SWE,54740
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Switzerland,CHE,70130
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Syrian Arab Republic,SYR,..
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Tajikistan,TJK,3850
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Tanzania,TZA,2570
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Thailand,THA,17620
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Timor-Leste,TLS,4520
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Togo,TGO,1590
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Tonga,TON,6510
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Trinidad and Tobago,TTO,26140
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Tunisia,TUN,10640
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Turkey,TUR,27700
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Turkmenistan,TKM,14560
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Turks and Caicos Islands,TCA,26210
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Tuvalu,TUV,6090
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Uganda,UGA,2110
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Ukraine,UKR,12950
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,United Arab Emirates,ARE,68780
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,United Kingdom,GBR,46240
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,United States,USA,63780
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Uruguay,URY,20570
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Uzbekistan,UZB,7120
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Vanuatu,VUT,3230
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,"Venezuela, RB",VEN,..
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Vietnam,VNM,7220
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Virgin Islands (U.S.),VIR,..
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,West Bank and Gaza,PSE,6740
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,"Yemen, Rep.",YEM,..
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Zambia,ZMB,3550
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Zimbabwe,ZWE,2990
Income share held by lowest 20%,SI.DST.FRST.20,Afghanistan,AFG,..
Income share held by lowest 20%,SI.DST.FRST.20,Albania,ALB,..
Income share held by lowest 20%,SI.DST.FRST.20,Algeria,DZA,..
Income share held by lowest 20%,SI.DST.FRST.20,American Samoa,ASM,..
Income share held by lowest 20%,SI.DST.FRST.20,Andorra,AND,..
Income share held by lowest 20%,SI.DST.FRST.20,Angola,AGO,3.8
Income share held by lowest 20%,SI.DST.FRST.20,Antigua and Barbuda,ATG,..
Income share held by lowest 20%,SI.DST.FRST.20,Argentina,ARG,5
Income share held by lowest 20%,SI.DST.FRST.20,Armenia,ARM,8.1
Income share held by lowest 20%,SI.DST.FRST.20,Aruba,ABW,..
Income share held by lowest 20%,SI.DST.FRST.20,Australia,AUS,..
Income share held by lowest 20%,SI.DST.FRST.20,Austria,AUT,..
Income share held by lowest 20%,SI.DST.FRST.20,Azerbaijan,AZE,..
Income share held by lowest 20%,SI.DST.FRST.20,"Bahamas, The",BHS,..
Income share held by lowest 20%,SI.DST.FRST.20,Bahrain,BHR,..
Income share held by lowest 20%,SI.DST.FRST.20,Bangladesh,BGD,..
Income share held by lowest 20%,SI.DST.FRST.20,Barbados,BRB,..
Income share held by lowest 20%,SI.DST.FRST.20,Belarus,BLR,10.1
Income share held by lowest 20%,SI.DST.FRST.20,Belgium,BEL,..
Income share held by lowest 20%,SI.DST.FRST.20,Belize,BLZ,..
Income share held by lowest 20%,SI.DST.FRST.20,Benin,BEN,..
Income share held by lowest 20%,SI.DST.FRST.20,Bermuda,BMU,..
Income share held by lowest 20%,SI.DST.FRST.20,Bhutan,BTN,..
Income share held by lowest 20%,SI.DST.FRST.20,Bolivia,BOL,4.6
Income share held by lowest 20%,SI.DST.FRST.20,Bosnia and Herzegovina,BIH,..
Income share held by lowest 20%,SI.DST.FRST.20,Botswana,BWA,..
Income share held by lowest 20%,SI.DST.FRST.20,Brazil,BRA,3.1
Income share held by lowest 20%,SI.DST.FRST.20,British Virgin Islands,VGB,..
Income share held by lowest 20%,SI.DST.FRST.20,Brunei Darussalam,BRN,..
Income share held by lowest 20%,SI.DST.FRST.20,Bulgaria,BGR,..
Income share held by lowest 20%,SI.DST.FRST.20,Burkina Faso,BFA,..
Income share held by lowest 20%,SI.DST.FRST.20,Burundi,BDI,..
Income share held by lowest 20%,SI.DST.FRST.20,Cabo Verde,CPV,..
Income share held by lowest 20%,SI.DST.FRST.20,Cambodia,KHM,..
Income share held by lowest 20%,SI.DST.FRST.20,Cameroon,CMR,..
Income share held by lowest 20%,SI.DST.FRST.20,Canada,CAN,..
Income share held by lowest 20%,SI.DST.FRST.20,Cayman Islands,CYM,..
Income share held by lowest 20%,SI.DST.FRST.20,Central African Republic,CAF,..
Income share held by lowest 20%,SI.DST.FRST.20,Chad,TCD,..
Income share held by lowest 20%,SI.DST.FRST.20,Channel Islands,CHI,..
Income share held by lowest 20%,SI.DST.FRST.20,Chile,CHL,..
Income share held by lowest 20%,SI.DST.FRST.20,China,CHN,..
Income share held by lowest 20%,SI.DST.FRST.20,Colombia,COL,4
Income share held by lowest 20%,SI.DST.FRST.20,Comoros,COM,..
Income share held by lowest 20%,SI.DST.FRST.20,"Congo, Dem. Rep.",COD,..
Income share held by lowest 20%,SI.DST.FRST.20,"Congo, Rep.",COG,..
Income share held by lowest 20%,SI.DST.FRST.20,Costa Rica,CRI,4.3
Income share held by lowest 20%,SI.DST.FRST.20,Cote d'Ivoire,CIV,..
Income share held by lowest 20%,SI.DST.FRST.20,Croatia,HRV,..
Income share held by lowest 20%,SI.DST.FRST.20,Cuba,CUB,..
Income share held by lowest 20%,SI.DST.FRST.20,Curacao,CUW,..
Income share held by lowest 20%,SI.DST.FRST.20,Cyprus,CYP,..
Income share held by lowest 20%,SI.DST.FRST.20,Czech Republic,CZE,..
Income share held by lowest 20%,SI.DST.FRST.20,Denmark,DNK,..
Income share held by lowest 20%,SI.DST.FRST.20,Djibouti,DJI,..
Income share held by lowest 20%,SI.DST.FRST.20,Dominica,DMA,..
Income share held by lowest 20%,SI.DST.FRST.20,Dominican Republic,DOM,5.8
Income share held by lowest 20%,SI.DST.FRST.20,Ecuador,ECU,4.6
Income share held by lowest 20%,SI.DST.FRST.20,"Egypt, Arab Rep.",EGY,..
Income share held by lowest 20%,SI.DST.FRST.20,El Salvador,SLV,6.2
Income share held by lowest 20%,SI.DST.FRST.20,Equatorial Guinea,GNQ,..
Income share held by lowest 20%,SI.DST.FRST.20,Eritrea,ERI,..
Income share held by lowest 20%,SI.DST.FRST.20,Estonia,EST,..
Income share held by lowest 20%,SI.DST.FRST.20,Ethiopia,ETH,..
Income share held by lowest 20%,SI.DST.FRST.20,Faroe Islands,FRO,..
Income share held by lowest 20%,SI.DST.FRST.20,Fiji,FJI,..
Income share held by lowest 20%,SI.DST.FRST.20,Finland,FIN,..
Income share held by lowest 20%,SI.DST.FRST.20,France,FRA,..
Income share held by lowest 20%,SI.DST.FRST.20,French Polynesia,PYF,..
Income share held by lowest 20%,SI.DST.FRST.20,Gabon,GAB,..
Income share held by lowest 20%,SI.DST.FRST.20,"Gambia, The",GMB,..
Income share held by lowest 20%,SI.DST.FRST.20,Georgia,GEO,6.5
Income share held by lowest 20%,SI.DST.FRST.20,Germany,DEU,..
Income share held by lowest 20%,SI.DST.FRST.20,Ghana,GHA,..
Income share held by lowest 20%,SI.DST.FRST.20,Gibraltar,GIB,..
Income share held by lowest 20%,SI.DST.FRST.20,Greece,GRC,..
Income share held by lowest 20%,SI.DST.FRST.20,Greenland,GRL,..
Income share held by lowest 20%,SI.DST.FRST.20,Grenada,GRD,..
Income share held by lowest 20%,SI.DST.FRST.20,Guam,GUM,..
Income share held by lowest 20%,SI.DST.FRST.20,Guatemala,GTM,..
Income share held by lowest 20%,SI.DST.FRST.20,Guinea,GIN,..
Income share held by lowest 20%,SI.DST.FRST.20,Guinea-Bissau,GNB,..
Income share held by lowest 20%,SI.DST.FRST.20,Guyana,GUY,..
Income share held by lowest 20%,SI.DST.FRST.20,Haiti,HTI,..
Income share held by lowest 20%,SI.DST.FRST.20,Honduras,HND,3
Income share held by lowest 20%,SI.DST.FRST.20,"Hong Kong SAR, China",HKG,..
Income share held by lowest 20%,SI.DST.FRST.20,Hungary,HUN,..
Income share held by lowest 20%,SI.DST.FRST.20,Iceland,ISL,..
Income share held by lowest 20%,SI.DST.FRST.20,India,IND,..
Income share held by lowest 20%,SI.DST.FRST.20,Indonesia,IDN,6.7
Income share held by lowest 20%,SI.DST.FRST.20,"Iran, Islamic Rep.",IRN,..
Income share held by lowest 20%,SI.DST.FRST.20,Iraq,IRQ,..
Income share held by lowest 20%,SI.DST.FRST.20,Ireland,IRL,..
Income share held by lowest 20%,SI.DST.FRST.20,Isle of Man,IMN,..
Income share held by lowest 20%,SI.DST.FRST.20,Israel,ISR,..
Income share held by lowest 20%,SI.DST.FRST.20,Italy,ITA,..
Income share held by lowest 20%,SI.DST.FRST.20,Jamaica,JAM,..
Income share held by lowest 20%,SI.DST.FRST.20,Japan,JPN,..
Income share held by lowest 20%,SI.DST.FRST.20,Jordan,JOR,..
Income share held by lowest 20%,SI.DST.FRST.20,Kazakhstan,KAZ,..
Income share held by lowest 20%,SI.DST.FRST.20,Kenya,KEN,..
Income share held by lowest 20%,SI.DST.FRST.20,Kiribati,KIR,..
Income share held by lowest 20%,SI.DST.FRST.20,"Korea, Dem. People’s Rep.",PRK,..
Income share held by lowest 20%,SI.DST.FRST.20,"Korea, Rep.",KOR,..
Income share held by lowest 20%,SI.DST.FRST.20,Kosovo,XKX,..
Income share held by lowest 20%,SI.DST.FRST.20,Kuwait,KWT,..
Income share held by lowest 20%,SI.DST.FRST.20,Kyrgyz Republic,KGZ,9.9
Income share held by lowest 20%,SI.DST.FRST.20,Lao PDR,LAO,..
Income share held by lowest 20%,SI.DST.FRST.20,Latvia,LVA,..
Income share held by lowest 20%,SI.DST.FRST.20,Lebanon,LBN,..
Income share held by lowest 20%,SI.DST.FRST.20,Lesotho,LSO,..
Income share held by lowest 20%,SI.DST.FRST.20,Liberia,LBR,..
Income share held by lowest 20%,SI.DST.FRST.20,Libya,LBY,..
Income share held by lowest 20%,SI.DST.FRST.20,Liechtenstein,LIE,..
Income share held by lowest 20%,SI.DST.FRST.20,Lithuania,LTU,..
Income share held by lowest 20%,SI.DST.FRST.20,Luxembourg,LUX,..
Income share held by lowest 20%,SI.DST.FRST.20,"Macao SAR, China",MAC,..
Income share held by lowest 20%,SI.DST.FRST.20,North Macedonia,MKD,..
Income share held by lowest 20%,SI.DST.FRST.20,Madagascar,MDG,..
Income share held by lowest 20%,SI.DST.FRST.20,Malawi,MWI,..
Income share held by lowest 20%,SI.DST.FRST.20,Malaysia,MYS,..
Income share held by lowest 20%,SI.DST.FRST.20,Maldives,MDV,..
Income share held by lowest 20%,SI.DST.FRST.20,Mali,MLI,..
Income share held by lowest 20%,SI.DST.FRST.20,Malta,MLT,..
Income share held by lowest 20%,SI.DST.FRST.20,Marshall Islands,MHL,..
Income share held by lowest 20%,SI.DST.FRST.20,Mauritania,MRT,..
Income share held by lowest 20%,SI.DST.FRST.20,Mauritius,MUS,..
Income share held by lowest 20%,SI.DST.FRST.20,Mexico,MEX,5.4
Income share held by lowest 20%,SI.DST.FRST.20,"Micronesia, Fed. Sts.",FSM,..
Income share held by lowest 20%,SI.DST.FRST.20,Moldova,MDA,10.2
Income share held by lowest 20%,SI.DST.FRST.20,Monaco,MCO,..
Income share held by lowest 20%,SI.DST.FRST.20,Mongolia,MNG,7.9
Income share held by lowest 20%,SI.DST.FRST.20,Montenegro,MNE,..
Income share held by lowest 20%,SI.DST.FRST.20,Morocco,MAR,..
Income share held by lowest 20%,SI.DST.FRST.20,Mozambique,MOZ,..
Income share held by lowest 20%,SI.DST.FRST.20,Myanmar,MMR,..
Income share held by lowest 20%,SI.DST.FRST.20,Namibia,NAM,..
Income share held by lowest 20%,SI.DST.FRST.20,Nauru,NRU,..
Income share held by lowest 20%,SI.DST.FRST.20,Nepal,NPL,..
Income share held by lowest 20%,SI.DST.FRST.20,Netherlands,NLD,..
Income share held by lowest 20%,SI.DST.FRST.20,New Caledonia,NCL,..
Income share held by lowest 20%,SI.DST.FRST.20,New Zealand,NZL,..
Income share held by lowest 20%,SI.DST.FRST.20,Nicaragua,NIC,..
Income share held by lowest 20%,SI.DST.FRST.20,Niger,NER,..
Income share held by lowest 20%,SI.DST.FRST.20,Nigeria,NGA,..
Income share held by lowest 20%,SI.DST.FRST.20,Northern Mariana Islands,MNP,..
Income share held by lowest 20%,SI.DST.FRST.20,Norway,NOR,..
Income share held by lowest 20%,SI.DST.FRST.20,Oman,OMN,..
Income share held by lowest 20%,SI.DST.FRST.20,Pakistan,PAK,..
Income share held by lowest 20%,SI.DST.FRST.20,Palau,PLW,..
Income share held by lowest 20%,SI.DST.FRST.20,Panama,PAN,3.6
Income share held by lowest 20%,SI.DST.FRST.20,Papua New Guinea,PNG,..
Income share held by lowest 20%,SI.DST.FRST.20,Paraguay,PRY,4.7
Income share held by lowest 20%,SI.DST.FRST.20,Peru,PER,4.9
Income share held by lowest 20%,SI.DST.FRST.20,Philippines,PHL,..
Income share held by lowest 20%,SI.DST.FRST.20,Poland,POL,..
Income share held by lowest 20%,SI.DST.FRST.20,Portugal,PRT,..
Income share held by lowest 20%,SI.DST.FRST.20,Puerto Rico,PRI,..
Income share held by lowest 20%,SI.DST.FRST.20,Qatar,QAT,..
Income share held by lowest 20%,SI.DST.FRST.20,Romania,ROU,..
Income share held by lowest 20%,SI.DST.FRST.20,Russian Federation,RUS,7.1
Income share held by lowest 20%,SI.DST.FRST.20,Rwanda,RWA,..
Income share held by lowest 20%,SI.DST.FRST.20,Samoa,WSM,..
Income share held by lowest 20%,SI.DST.FRST.20,San Marino,SMR,..
Income share held by lowest 20%,SI.DST.FRST.20,Sao Tome and Principe,STP,..
Income share held by lowest 20%,SI.DST.FRST.20,Saudi Arabia,SAU,..
Income share held by lowest 20%,SI.DST.FRST.20,Senegal,SEN,..
Income share held by lowest 20%,SI.DST.FRST.20,Serbia,SRB,..
Income share held by lowest 20%,SI.DST.FRST.20,Seychelles,SYC,..
Income share held by lowest 20%,SI.DST.FRST.20,Sierra Leone,SLE,7.9
Income share held by lowest 20%,SI.DST.FRST.20,Singapore,SGP,..
Income share held by lowest 20%,SI.DST.FRST.20,Sint Maarten (Dutch part),SXM,..
Income share held by lowest 20%,SI.DST.FRST.20,Slovak Republic,SVK,..
Income share held by lowest 20%,SI.DST.FRST.20,Slovenia,SVN,..
Income share held by lowest 20%,SI.DST.FRST.20,Solomon Islands,SLB,..
Income share held by lowest 20%,SI.DST.FRST.20,Somalia,SOM,..
Income share held by lowest 20%,SI.DST.FRST.20,South Africa,ZAF,..
Income share held by lowest 20%,SI.DST.FRST.20,South Sudan,SSD,..
Income share held by lowest 20%,SI.DST.FRST.20,Spain,ESP,..
Income share held by lowest 20%,SI.DST.FRST.20,Sri Lanka,LKA,..
Income share held by lowest 20%,SI.DST.FRST.20,St. Kitts and Nevis,KNA,..
Income share held by lowest 20%,SI.DST.FRST.20,St. Lucia,LCA,..
Income share held by lowest 20%,SI.DST.FRST.20,St. Martin (French part),MAF,..
Income share held by lowest 20%,SI.DST.FRST.20,St. Vincent and the Grenadines,VCT,..
Income share held by lowest 20%,SI.DST.FRST.20,Sudan,SDN,..
Income share held by lowest 20%,SI.DST.FRST.20,Suriname,SUR,..
Income share held by lowest 20%,SI.DST.FRST.20,Eswatini,SWZ,..
Income share held by lowest 20%,SI.DST.FRST.20,Sweden,SWE,..
Income share held by lowest 20%,SI.DST.FRST.20,Switzerland,CHE,..
Income share held by lowest 20%,SI.DST.FRST.20,Syrian Arab Republic,SYR,..
Income share held by lowest 20%,SI.DST.FRST.20,Tajikistan,TJK,..
Income share held by lowest 20%,SI.DST.FRST.20,Tanzania,TZA,..
Income share held by lowest 20%,SI.DST.FRST.20,Thailand,THA,7.2
Income share held by lowest 20%,SI.DST.FRST.20,Timor-Leste,TLS,..
Income share held by lowest 20%,SI.DST.FRST.20,Togo,TGO,..
Income share held by lowest 20%,SI.DST.FRST.20,Tonga,TON,..
Income share held by lowest 20%,SI.DST.FRST.20,Trinidad and Tobago,TTO,..
Income share held by lowest 20%,SI.DST.FRST.20,Tunisia,TUN,..
Income share held by lowest 20%,SI.DST.FRST.20,Turkey,TUR,5.8
Income share held by lowest 20%,SI.DST.FRST.20,Turkmenistan,TKM,..
Income share held by lowest 20%,SI.DST.FRST.20,Turks and Caicos Islands,TCA,..
Income share held by lowest 20%,SI.DST.FRST.20,Tuvalu,TUV,..
Income share held by lowest 20%,SI.DST.FRST.20,Uganda,UGA,..
Income share held by lowest 20%,SI.DST.FRST.20,Ukraine,UKR,9.9
Income share held by lowest 20%,SI.DST.FRST.20,United Arab Emirates,ARE,..
Income share held by lowest 20%,SI.DST.FRST.20,United Kingdom,GBR,..
Income share held by lowest 20%,SI.DST.FRST.20,United States,USA,..
Income share held by lowest 20%,SI.DST.FRST.20,Uruguay,URY,5.9
Income share held by lowest 20%,SI.DST.FRST.20,Uzbekistan,UZB,..
Income share held by lowest 20%,SI.DST.FRST.20,Vanuatu,VUT,..
Income share held by lowest 20%,SI.DST.FRST.20,"Venezuela, RB",VEN,..
Income share held by lowest 20%,SI.DST.FRST.20,Vietnam,VNM,6.7
Income share held by lowest 20%,SI.DST.FRST.20,Virgin Islands (U.S.),VIR,..
Income share held by lowest 20%,SI.DST.FRST.20,West Bank and Gaza,PSE,..
Income share held by lowest 20%,SI.DST.FRST.20,"Yemen, Rep.",YEM,..
Income share held by lowest 20%,SI.DST.FRST.20,Zambia,ZMB,..
Income share held by lowest 20%,SI.DST.FRST.20,Zimbabwe,ZWE,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,64.486
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,78.458
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,76.693
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,60.782
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,76.885
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,76.52
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,74.945
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,76.152
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,82.7487804878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,81.6926829268293
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,72.864
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,73.752
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,77.163
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,72.32
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,79.081
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,74.1756097560976
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,81.5951219512195
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,74.496
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,61.47
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bermuda,BMU,81.6517073170732
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bhutan,BTN,71.46
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,71.239
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bosnia and Herzegovina,BIH,77.262
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Botswana,BWA,69.275
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,75.672
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,British Virgin Islands,VGB,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brunei Darussalam,BRN,75.722
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bulgaria,BGR,74.9634146341464
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burkina Faso,BFA,61.174
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burundi,BDI,61.247
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cabo Verde,CPV,72.782
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cambodia,KHM,69.57
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cameroon,CMR,58.921
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Canada,CAN,81.9487804878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cayman Islands,CYM,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central African Republic,CAF,52.805
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chad,TCD,53.977
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Channel Islands,CHI,82.928
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chile,CHL,80.042
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,China,CHN,76.704
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Colombia,COL,77.109
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Comoros,COM,64.118
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Dem. Rep.",COD,60.368
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Rep.",COG,64.29
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Costa Rica,CRI,80.095
